,Unnamed: 0,months_as_customer,age,policy_number,policy_deductable,umbrella_limit,insured_zip,capital-gains,capital-loss,incident_hour_of_the_day,number_of_vehicles_involved,bodily_injuries,witnesses,total_claim_amount,injury_claim,property_claim,vehicle_claim,_id,policy_bind_date,policy_state,policy_csl,insured_sex,insured_education_level,insured_occupation,insured_hobbies,insured_relationship,incident_date,incident_type,collision_type,incident_severity,authorities_contacted,incident_state,incident_city,incident_location,property_damage,police_report_available,auto_make,auto_model,fraud_reported
14,14,225,41,330591,2000,0,475292,41200,-36200,20,3,2,2,70400,6400,12800,51200,117,863,2,2,1,2,3,8,4,10,0,2,0,4,1,3,314,0,0,12,18,1
15,15,206,36,253791,500,4000000,607452,0,-53700,11,1,2,1,76560,12760,12760,51040,121,753,0,2,0,4,7,18,2,15,2,0,0,0,1,4,124,0,0,5,16,1
16,16,206,39,965768,1000,6000000,603948,47200,-69700,12,3,2,3,36300,3300,9900,23100,125,762,1,1,1,3,2,7,4,39,0,1,2,0,1,2,67,0,1,5,13,0
17,17,24,33,649082,1000,0,431277,0,-45200,0,1,2,1,46800,4680,9360,32760,133,20,0,2,0,2,6,16,5,16,2,2,2,4,6,3,456,0,0,7,36,0
18,18,200,40,932502,1000,0,444822,45300,-20400,9,1,0,0,3690,410,410,2870,136,577,0,0,0,2,11,8,2,0,3,1,1,4,5,5,169,0,0,5,13,0
19,19,287,41,456604,2000,0,477519,0,-49000,9,1,2,3,5170,470,940,3760,141,463,0,2,1,5,13,18,5,10,3,1,3,2,4,4,502,0,0,11,15,0
20,20,398,58,515050,500,0,469429,0,-57900,18,1,2,1,99320,7640,15280,76400,145,177,2,0,0,0,3,6,5,42,2,0,0,4,0,4,56,1,0,0,33,1
21,21,298,45,491392,1000,0,442598,0,-51100,18,3,0,0,64000,12800,6400,44800,167,770,0,2,1,2,4,19,4,50,0,0,1,0,1,3,433,0,0,10,3,0
22,22,53,36,125324,2000,0,614233,72200,0,17,3,2,0,51100,10220,5110,35770,180,893,2,2,1,0,5,1,1,40,0,2,0,1,5,5,343,0,1,1,4,0
23,23,177,34,226330,2000,0,477382,0,-57700,22,3,1,1,18000,2250,2250,13500,186,34,0,0,0,3,12,3,4,38,0,0,2,0,0,5,114,0,0,1,4,0
24,24,252,39,868283,1000,0,455340,68500,-57500,18,1,1,2,50490,5610,5610,39270,191,403,1,1,1,3,4,10,4,35,2,2,1,4,4,6,161,0,0,9,26,0
25,25,27,33,485665,500,0,601734,0,0,21,1,1,1,27700,2770,2770,22160,8,401,0,0,0,6,7,9,3,23,2,0,2,4,6,0,429,0,1,12,9,0
26,26,73,26,918777,2000,4000000,468813,29300,0,9,3,0,1,40160,5020,0,35140,194,554,0,1,1,4,4,1,1,34,0,1,2,3,5,4,287,0,1,3,34,0
27,27,342,49,505969,500,0,472634,63100,-13800,3,1,2,0,76700,7670,7670,61360,201,558,2,1,1,6,13,0,1,51,2,1,1,1,6,2,571,0,1,11,21,0
28,28,289,49,933293,2000,0,620757,0,0,16,1,1,1,5330,1230,820,3280,37,389,0,2,0,3,8,9,4,9,1,1,1,2,6,0,637,0,1,11,21,0
29,29,217,39,394975,1000,0,603993,0,0,8,1,2,1,4300,430,430,3440,52,661,1,0,1,1,1,1,1,45,3,1,1,2,6,3,172,0,1,12,11,0
30,30,330,50,365364,1000,0,431121,0,0,19,1,0,0,49060,8920,8920,31220,222,289,0,2,0,2,11,19,0,53,2,2,2,1,1,2,631,1,0,3,32,0
31,31,11,39,623648,2000,0,431683,56600,-45800,22,1,0,1,65790,7310,7310,51170,58,591,0,1,1,6,7,19,0,28,2,0,2,0,6,5,370,1,0,10,2,0
32,32,295,42,132902,2000,5000000,450149,62400,0,16,3,0,0,59130,6570,6570,45990,64,531,2,1,1,6,11,5,1,12,0,1,2,1,5,5,22,0,0,5,13,1
33,33,245,41,267885,2000,0,620473,24400,-60500,4,1,0,1,73500,7350,14700,51450,225,843,1,2,1,5,3,1,4,20,2,0,2,0,1,6,754,1,1,7,36,0
34,34,199,41,657045,1000,0,452597,0,0,10,1,1,2,30100,3010,0,27090,72,299,2,1,0,0,11,13,0,33,2,1,1,0,0,0,148,0,0,3,25,0
35,35,319,47,527945,500,0,600648,0,0,22,3,0,2,59730,10860,10860,38010,77,504,1,1,1,1,13,7,1,39,0,0,2,4,6,4,191,0,0,1,4,0
36,36,343,52,629663,1000,0,602402,0,0,2,1,0,2,47630,12990,4330,30310,227,27,0,2,0,0,9,3,1,38,2,0,0,3,1,0,708,0,0,12,11,1
37,37,31,36,679370,2000,9000000,601748,0,-78600,9,1,0,1,4700,940,470,3290,88,804,0,2,0,1,9,11,1,23,1,1,3,2,6,0,503,0,1,4,27,0
38,38,235,42,511621,500,0,444913,39900,-60200,7,4,2,1,69100,6910,6910,55280,232,920,1,1,0,5,6,8,0,40,0,2,2,3,6,6,288,0,1,12,18,0
39,39,272,41,280709,2000,0,466718,33300,-10600,19,1,1,1,71060,6460,12920,51680,238,623,2,2,0,0,4,15,3,38,2,2,0,3,1,6,820,0,0,10,1,0
40,40,127,29,686816,2000,5000000,436973,0,0,12,2,1,1,66950,10300,10300,46350,90,317,2,1,0,2,11,2,3,47,0,0,2,1,4,0,827,1,0,10,2,0
41,41,151,37,898573,1000,0,617947,54000,0,0,1,1,1,38830,3530,3530,31770,239,873,1,2,0,5,4,7,3,57,2,0,1,1,6,4,601,1,0,11,21,0
42,42,61,23,127754,2000,4000000,471300,0,-62400,14,1,0,3,98340,8940,17880,71520,91,701,0,1,0,0,12,8,3,42,2,2,0,4,1,1,31,0,0,6,6,1
43,43,295,48,740019,1000,0,439787,0,0,6,1,1,2,5400,900,900,3600,98,651,2,1,0,1,6,11,5,45,1,1,3,2,6,1,341,0,1,10,3,0
44,44,87,31,853360,1000,0,451312,0,-47500,16,3,0,3,60940,5540,11080,44320,109,681,1,2,0,5,11,5,0,19,0,1,0,1,1,6,221,0,1,9,35,1
45,45,255,41,368050,2000,4000000,618123,0,0,22,1,2,0,69300,13860,13860,41580,120,74,0,2,1,2,8,2,2,45,2,2,1,1,4,2,825,0,0,13,28,0
46,46,22,25,824540,2000,0,603527,51100,0,0,4,1,0,77130,8570,17140,51420,123,426,2,1,0,1,9,12,2,26,0,0,2,3,0,0,733,1,0,0,23,0
47,47,171,34,964657,2000,0,605169,84900,0,14,1,1,2,69200,13840,6920,48440,135,357,1,1,0,1,3,19,2,10,2,1,0,4,1,6,853,0,0,13,28,1
48,48,82,27,119513,1000,0,476727,13100,-38200,14,1,2,3,71680,8960,8960,53760,148,918,0,0,1,6,0,15,1,40,2,1,0,3,4,6,946,0,0,13,20,1
49,49,193,41,217938,500,0,438555,0,0,1,1,1,0,112320,17280,17280,77760,149,729,2,1,0,3,2,16,1,57,2,2,0,3,4,6,489,0,1,11,19,1
50,50,461,61,781181,2000,0,449557,0,0,10,3,2,1,72100,7210,14420,50470,156,683,2,0,1,3,3,8,0,40,0,1,1,4,1,1,366,0,1,7,36,0
51,51,122,34,985436,500,0,452249,38100,-31400,18,3,2,0,99990,18180,18180,63630,164,881,0,1,0,5,9,14,4,28,0,1,2,1,3,1,183,0,1,8,12,0
52,52,8,31,425973,500,4000000,604804,0,-88300,2,3,0,2,48100,11100,7400,29600,173,336,1,1,0,4,13,11,5,46,0,0,0,1,3,2,915,0,1,13,20,0
53,53,155,34,914815,500,0,462479,0,0,1,1,1,1,77040,8560,8560,59920,176,928,1,0,1,5,10,7,2,28,2,0,1,0,2,2,966,0,1,6,10,0
54,54,261,45,249048,1000,0,457555,0,-45100,16,1,0,1,62590,11380,11380,39830,177,648,0,1,0,6,9,11,2,2,2,1,1,1,4,1,558,1,0,13,20,0
55,55,235,39,651861,500,4000000,434982,0,-31700,1,1,2,1,4950,450,900,3600,179,71,0,0,1,4,12,8,5,16,3,1,3,2,1,2,576,0,0,3,32,0
56,56,426,54,398102,2000,0,605258,29600,-22300,13,1,2,3,100800,16800,16800,67200,181,120,0,2,0,5,0,15,1,3,2,2,1,4,4,6,890,1,0,4,27,0
57,57,125,35,442795,500,7000000,446788,0,-51300,17,1,2,3,88660,8060,16120,64480,185,786,2,2,1,3,12,6,0,48,2,0,2,1,1,3,842,1,0,8,7,1
58,58,223,43,650026,500,0,466959,66400,-34400,14,1,2,1,54400,5440,5440,43520,205,632,2,2,0,5,12,8,1,32,2,1,1,4,4,6,913,0,0,2,22,0
59,59,362,50,114839,500,4000000,619735,53000,-72500,17,3,1,1,57060,6340,6340,44380,223,0,0,1,1,0,11,2,5,28,0,2,2,1,1,1,851,0,0,8,12,0
60,60,298,46,667021,1000,6000000,477678,36900,-55000,18,1,2,3,33550,3050,6100,24400,231,593,2,2,1,3,9,7,3,38,2,2,1,4,4,0,477,0,1,13,28,0
61,61,235,42,543610,500,4000000,462283,38400,0,22,1,2,2,87010,7910,15820,63280,10,607,2,0,0,5,3,7,2,27,2,0,2,4,1,3,61,1,0,5,14,0
62,62,473,58,892874,2000,0,458733,55700,0,12,4,0,0,63120,10520,10520,42080,15,107,1,0,0,4,13,12,2,21,0,2,0,3,6,2,953,1,0,0,23,1
63,63,370,55,285496,2000,0,443920,72700,-68200,20,3,0,0,71520,17880,5960,47680,22,608,0,0,1,2,9,13,2,2,0,1,0,0,4,2,164,0,1,11,15,1
64,64,413,55,115399,2000,0,453148,0,-31000,15,1,2,2,98160,8180,16360,73620,23,407,1,0,1,4,8,5,3,10,2,0,2,0,6,3,518,0,0,4,30,1
65,65,237,40,736882,1000,0,434733,0,-53500,6,1,1,3,77880,7080,14160,56640,24,362,1,0,1,1,2,11,0,47,2,1,1,3,5,5,162,0,0,5,13,0
66,66,241,45,596785,2000,0,432211,0,0,5,1,2,2,91650,14100,14100,63450,29,476,0,2,0,6,6,1,4,37,2,1,1,4,4,4,123,0,0,0,33,0
67,67,147,33,129872,1000,6000000,479224,53300,-49200,15,1,2,0,53100,10620,5310,37170,35,876,2,0,1,2,2,15,1,16,2,0,0,3,6,6,233,1,1,8,7,1
68,68,151,36,485372,2000,0,431725,94800,-58500,12,3,1,1,62920,11440,5720,45760,59,380,2,1,0,4,0,11,3,27,0,2,1,4,5,2,143,0,0,5,13,0
69,69,215,37,761189,500,0,614417,0,-42900,7,3,2,0,57120,9520,4760,42840,73,289,1,0,0,1,13,9,1,46,0,1,1,1,4,5,784,0,1,8,7,0
70,70,244,40,645258,2000,5000000,603123,0,0,10,1,2,1,6600,660,1320,4620,81,775,2,2,0,5,3,18,5,22,3,1,3,2,0,4,681,0,0,0,33,0
71,71,200,35,960680,2000,0,618498,57300,-80600,13,1,0,3,6490,1180,1180,4130,83,827,1,1,1,2,3,18,5,10,3,1,3,2,5,2,149,0,1,13,20,0
72,72,271,42,307447,500,0,603248,0,0,21,3,1,0,93720,17040,8520,68160,94,437,0,0,0,2,6,10,1,10,0,1,2,0,4,3,973,0,0,8,24,0
73,73,295,49,872814,500,0,451672,34300,-24300,4,1,1,3,4320,480,480,3360,105,639,0,0,1,1,9,11,0,0,3,1,1,2,6,1,799,1,1,8,12,0
74,74,298,47,163161,2000,0,618929,28800,0,1,1,0,0,70590,10860,10860,48870,108,161,0,2,0,6,6,1,2,42,2,0,0,1,1,4,145,0,0,10,2,1
75,75,453,60,149367,500,6000000,459504,52600,-38800,0,1,0,0,70000,14000,7000,49000,111,440,1,0,1,6,2,7,4,27,2,0,0,1,0,6,700,1,0,5,14,1
76,76,203,38,155724,500,0,606352,0,0,7,1,0,1,55440,0,6160,49280,122,364,0,1,0,5,7,16,1,24,2,0,0,0,5,1,458,0,1,9,26,1
77,77,22,29,354105,2000,6000000,463993,0,-56200,14,1,2,3,70800,7080,14160,49560,143,707,1,1,1,4,3,19,2,36,2,1,0,0,4,6,841,0,0,0,23,1
78,78,106,31,165485,2000,0,441491,54100,0,20,3,0,3,45630,5070,5070,35490,144,338,0,2,0,3,4,18,5,31,0,1,2,4,6,6,586,0,1,0,23,0
79,79,214,41,795686,500,4000000,472214,0,-57100,13,3,2,0,64000,12800,6400,44800,146,121,0,2,1,5,12,14,1,31,0,2,0,1,0,3,411,0,0,2,38,1
80,80,294,44,477177,1000,0,460308,53900,0,3,1,0,1,6100,610,1220,4270,174,803,0,0,0,6,4,11,4,54,3,1,3,2,6,5,548,0,0,5,16,0
81,81,238,39,134430,2000,0,600275,0,-39200,9,1,1,3,5500,1100,550,3850,187,312,1,1,0,3,10,8,2,48,3,1,1,4,1,4,490,1,1,3,34,0
82,82,285,43,171254,2000,0,452496,47600,0,7,1,1,1,2520,280,280,1960,199,228,2,0,0,1,11,13,2,4,3,1,1,4,4,0,857,0,0,2,0,0
83,83,241,39,896890,2000,0,464107,0,0,21,3,1,2,19080,4240,2120,12720,204,696,0,1,1,3,11,11,0,24,0,1,2,0,6,3,555,0,0,10,2,0
84,84,343,48,436126,500,3000000,473412,0,0,13,4,2,3,65070,7230,14460,43380,208,217,1,1,1,3,0,10,0,29,0,2,2,4,4,5,237,0,0,8,7,0
85,85,335,50,565564,1000,6000000,615346,62200,-31400,12,3,2,3,34320,8580,4290,21450,212,405,2,0,1,2,11,19,2,16,0,2,1,0,1,5,980,1,1,13,28,0
86,86,371,52,740505,1000,7000000,449800,0,-37100,2,2,2,0,88920,6840,13680,68400,226,88,0,1,0,2,7,13,3,45,0,1,1,3,1,5,537,1,0,0,31,0
87,87,166,34,405533,1000,0,617774,65600,-68200,18,1,0,2,53680,4880,4880,43920,230,140,2,0,0,2,6,0,5,58,2,2,2,3,1,1,278,0,1,6,8,0
88,88,99,32,130930,1000,3000000,618655,0,0,17,1,1,1,41130,4570,4570,31990,236,754,1,0,1,3,2,9,4,1,2,0,2,1,1,0,153,1,0,4,30,0
89,89,107,26,261119,2000,0,612550,40600,0,2,3,2,3,78650,14300,7150,57200,237,446,0,2,1,4,11,6,3,1,0,1,2,1,4,1,23,0,0,1,4,1
90,90,269,44,187775,500,4000000,451280,0,-41400,15,3,0,1,98670,15180,15180,68310,247,272,2,0,0,3,7,5,3,31,0,1,2,0,4,1,92,0,0,3,34,1
91,91,256,41,227811,2000,6000000,608117,48900,-62400,5,1,1,2,63400,6340,6340,50720,3,604,0,1,0,6,1,2,4,1,2,0,0,4,2,0,669,0,0,3,34,1
92,92,256,39,104594,1000,0,478456,0,0,19,3,0,2,64100,6410,6410,51280,5,91,2,1,0,6,12,3,4,11,0,1,0,1,4,0,891,0,0,10,3,1
93,93,121,34,626808,1000,0,464652,52800,-32800,5,1,1,1,7280,1120,1120,5040,13,126,2,0,0,4,1,3,5,29,1,1,1,2,4,6,622,0,0,12,18,0
94,94,8,35,699044,2000,0,613982,0,0,16,3,1,3,71500,16500,11000,44000,25,306,2,0,1,5,11,14,3,30,0,1,0,3,2,0,262,0,1,5,13,1
95,95,64,25,908616,1000,0,473328,53200,0,22,4,0,0,75600,12600,12600,50400,30,359,0,1,1,5,9,18,0,9,0,2,0,0,4,1,412,0,0,12,11,0
96,96,149,37,990493,500,0,603381,0,0,17,1,0,1,64800,10800,5400,48600,34,8,0,2,1,6,9,19,3,34,2,2,2,1,6,2,277,1,1,1,4,0
97,97,106,30,790442,500,0,433782,49700,-60200,23,1,2,2,51120,5680,5680,39760,43,502,2,1,0,6,13,15,3,32,2,1,2,3,0,0,635,0,0,8,12,0
98,98,355,47,939631,2000,4000000,433473,0,0,19,3,2,1,62800,6280,6280,50240,47,439,2,2,1,1,7,11,0,1,0,0,0,1,6,0,879,0,0,1,4,1
99,99,192,35,582011,1000,0,435481,0,-40300,19,1,0,0,76600,15320,7660,53620,49,419,0,0,0,5,3,12,5,0,2,1,2,3,6,6,557,0,0,8,7,0
100,100,430,59,691189,2000,7000000,477310,0,0,19,3,0,3,81800,16360,8180,57260,50,2,2,1,1,4,7,3,3,22,0,0,1,1,1,5,461,0,1,9,29,0
101,101,22,26,420810,1000,0,467784,71500,0,3,1,1,2,78900,15780,7890,55230,55,799,2,0,1,6,2,16,1,27,2,1,1,1,1,0,646,1,0,3,32,0
102,102,245,44,303987,1000,0,452787,69100,0,23,3,0,3,44280,7380,3690,33210,61,942,0,2,1,3,5,1,0,33,0,2,2,3,2,6,717,0,0,6,6,0
103,103,194,39,627540,1000,6000000,608335,0,-45000,15,1,2,2,8060,1240,1240,5580,78,597,2,2,0,3,7,11,5,16,3,1,1,2,4,6,780,1,1,10,3,0
104,104,284,48,498140,2000,0,605486,0,-44200,16,2,2,3,60940,5540,11080,44320,84,582,1,2,1,5,9,12,1,10,0,2,0,0,1,2,0,0,0,1,4,1
105,105,134,32,614763,500,0,456762,36400,0,2,1,2,1,64240,11680,11680,40880,87,22,0,2,0,4,7,19,3,29,2,2,2,1,5,6,122,0,1,2,0,0
106,106,80,25,992145,2000,5000000,601112,67700,-58400,5,1,2,0,6930,1260,630,5040,95,417,0,0,0,6,1,8,0,44,3,1,1,2,2,4,252,0,1,12,18,0
107,107,350,54,939905,500,0,609374,50500,0,15,3,0,0,93480,15580,7790,70110,104,144,2,2,1,1,7,1,5,34,0,2,2,4,4,3,352,0,0,3,25,0
108,108,194,39,620215,500,0,455689,0,0,3,3,2,2,61500,6150,12300,43050,131,761,1,1,1,5,0,13,3,46,0,0,0,3,6,1,8,0,0,4,30,0
109,109,93,32,437573,2000,0,454656,65300,-65600,16,1,1,1,78120,17360,8680,52080,134,937,2,1,1,6,3,1,4,58,2,2,1,0,6,3,442,0,0,2,0,0
110,110,124,32,756054,1000,0,447925,0,-43200,19,3,0,2,73560,12260,12260,49040,139,700,0,1,0,4,7,10,1,44,0,0,2,3,5,6,797,0,1,2,37,0
111,111,122,34,139872,1000,0,603639,58600,-28700,5,1,2,1,8190,1890,1260,5040,142,634,1,1,1,6,6,18,3,50,1,1,1,2,4,3,908,0,1,3,32,0
112,112,112,30,346940,1000,0,479852,47700,-59300,3,1,2,0,107900,10790,21580,75530,163,892,2,2,0,5,9,17,1,13,2,0,0,1,4,0,931,1,0,4,27,1
113,113,119,28,288580,2000,0,430886,88800,0,1,1,0,1,53600,6700,6700,40200,171,196,2,1,1,2,6,10,0,49,2,1,2,0,3,5,730,0,1,13,20,1
114,114,86,26,391652,500,7000000,434923,0,-30300,11,1,1,1,81840,14880,7440,59520,183,89,2,0,1,3,12,6,2,3,2,1,1,4,4,3,142,0,1,3,25,1
115,115,285,44,212580,1000,0,452747,0,0,17,2,2,3,55680,6960,6960,41760,195,784,0,2,1,2,5,3,0,54,0,2,2,1,0,1,533,1,0,10,3,0
116,116,30,31,247116,2000,0,430714,0,0,9,1,2,1,5760,960,960,3840,200,663,0,1,1,6,2,9,1,42,3,1,3,4,1,2,282,0,1,11,19,0
117,117,210,37,218684,2000,0,466676,59900,0,9,1,1,2,7080,1180,590,5310,211,867,1,2,1,2,8,16,1,26,3,1,3,2,2,1,323,0,0,4,30,0
118,118,11,40,743163,2000,0,440106,24000,0,6,3,1,0,53460,9720,9720,34020,213,567,2,2,0,4,9,15,5,18,0,2,0,3,4,6,912,0,0,4,27,1
119,119,249,43,547802,1000,0,606238,0,0,16,1,0,0,53500,5350,5350,42800,240,940,0,1,0,4,1,6,3,18,2,0,0,1,4,5,130,0,1,10,1,0
120,120,2,28,184938,1000,0,433184,0,0,19,1,0,2,58140,6460,6460,45220,246,598,0,1,0,3,6,9,1,8,2,2,1,1,1,3,898,1,1,10,1,0
121,121,180,38,644081,2000,0,476685,41300,-55500,12,1,0,2,46200,4200,8400,33600,14,287,2,1,0,1,6,2,1,6,2,1,2,4,4,6,658,0,1,4,27,1
122,122,447,61,214618,2000,0,615561,0,-51000,21,3,1,2,114920,17680,17680,79560,11,614,2,0,0,2,3,16,2,37,0,0,0,1,4,6,553,1,1,1,4,0
123,123,160,37,921202,500,0,472135,45500,-37800,19,1,1,0,72930,6630,13260,53040,18,291,2,2,0,4,2,19,2,10,2,2,2,3,1,4,319,1,0,0,33,0
124,124,196,39,143972,2000,0,477670,57000,-27300,8,3,2,0,60400,6040,6040,48320,19,820,1,2,0,2,5,4,3,45,0,2,0,4,5,1,803,0,0,9,29,0
125,125,155,35,336614,1000,0,614780,81100,0,16,3,2,3,29790,3310,3310,23170,32,795,0,2,0,0,0,19,2,47,0,0,2,4,1,0,565,1,0,2,0,0
126,126,431,54,485664,2000,0,615901,65700,0,4,3,2,0,62300,12460,6230,43610,38,200,1,2,0,4,2,3,4,13,0,1,0,4,1,2,332,0,0,7,36,0
127,127,116,34,616337,500,0,470577,0,-24100,1,1,1,1,97080,16180,16180,64720,41,858,1,1,1,0,13,5,4,0,2,2,0,4,6,4,520,0,0,2,37,1
128,128,94,32,307195,1000,0,464691,0,0,19,1,1,3,2400,300,300,1800,57,100,1,2,0,5,0,10,3,45,1,1,1,2,5,5,488,0,0,3,32,0
129,129,154,34,598554,500,0,609216,36900,0,15,3,2,1,69480,15440,0,54040,60,342,1,0,1,6,6,0,2,1,0,1,0,4,1,6,629,1,0,9,26,1
130,130,254,39,332867,500,0,458364,35700,0,6,3,2,2,82320,13720,6860,61740,65,249,1,0,0,4,3,5,2,45,0,0,1,0,1,0,16,1,0,4,27,1
131,131,478,64,346002,500,0,602433,59600,0,17,3,1,1,33930,0,3770,30160,67,823,2,1,0,0,0,15,4,42,0,2,1,1,6,2,838,0,0,2,38,0
132,132,192,40,175177,1000,0,472895,0,0,18,3,1,0,42930,9540,4770,28620,74,506,0,0,0,0,11,19,5,59,0,2,1,0,5,6,419,1,1,2,38,0
133,133,120,35,116700,1000,0,475847,78300,0,22,3,2,0,51210,11380,5690,34140,75,363,2,0,0,2,13,3,2,6,0,0,2,0,4,5,454,0,0,5,16,0
134,134,270,45,166264,1000,0,476978,0,-19700,18,3,1,1,89400,14900,7450,67050,76,6,2,2,0,1,5,9,0,5,0,0,1,1,1,6,120,0,1,11,21,0
135,135,207,42,918629,2000,0,453277,55200,0,9,1,0,1,5900,590,590,4720,92,139,0,1,1,6,4,19,3,51,1,1,3,2,6,6,474,0,0,2,37,0
136,136,219,43,731450,1000,0,465100,90700,-20800,3,3,1,1,70680,5890,11780,53010,93,292,1,0,0,4,3,8,1,58,0,0,0,0,0,5,11,0,0,5,16,0
137,137,239,42,246882,1000,0,464839,0,0,10,1,0,0,5600,700,700,4200,99,916,0,0,1,1,3,15,1,18,3,1,3,2,0,4,156,0,0,1,4,0
138,138,279,41,389238,500,0,460742,37300,-31700,16,3,2,3,28800,0,3600,25200,102,702,0,1,0,3,9,3,0,21,0,0,1,1,0,4,129,0,0,5,16,0
139,139,261,42,776860,500,0,605141,0,0,18,1,1,2,74700,7470,14940,52290,110,4,2,1,0,1,9,18,4,3,2,1,1,4,4,5,469,0,1,4,30,0
140,140,164,38,319232,2000,0,467743,44300,0,4,1,1,3,90000,18000,9000,63000,118,143,0,1,0,6,13,19,1,8,2,1,1,1,1,2,400,0,1,5,16,0
141,141,245,39,531640,500,8000000,460675,58000,0,7,3,0,1,72820,13240,6620,52960,119,521,2,1,0,0,0,4,0,43,0,1,1,4,1,0,71,0,0,2,0,0
142,142,274,43,517240,2000,0,465263,40700,-47300,22,1,0,3,63840,10640,10640,42560,128,579,2,0,1,1,4,1,5,55,2,0,0,1,1,3,892,1,1,2,37,1
143,143,280,45,718428,1000,0,607889,57900,0,0,3,1,2,84720,14120,14120,56480,130,727,1,1,1,3,6,4,5,14,0,0,1,3,1,0,899,1,0,5,13,0
144,144,288,45,565157,1000,0,616714,0,0,4,3,2,1,48060,10680,5340,32040,151,147,0,0,1,5,8,14,0,50,0,1,0,1,0,2,843,0,0,8,7,0
145,145,431,54,419510,1000,0,436547,17600,0,13,3,2,3,63240,10540,10540,42160,153,159,2,0,0,5,2,13,3,29,0,1,2,1,6,1,42,0,0,11,15,0
146,146,136,29,854021,500,0,600702,62500,-66900,9,1,2,0,6200,1240,620,4340,159,546,2,0,0,3,13,18,2,54,3,1,1,4,1,1,62,0,0,6,6,0
147,147,216,36,454086,1000,0,615921,39600,-82400,0,1,2,3,6160,560,1680,3920,160,157,1,2,0,0,8,15,4,17,1,1,1,4,5,6,76,1,0,8,12,0
148,148,295,48,678849,1000,0,609409,49700,-59100,20,2,2,1,86060,13240,13240,59580,162,370,2,2,0,4,3,14,4,20,0,2,2,0,1,2,88,0,1,13,28,0
149,149,14,28,335780,2000,0,601617,0,-26900,18,1,2,1,71280,12960,12960,45360,166,749,2,1,0,0,2,2,4,36,2,1,0,1,6,5,894,0,1,1,5,1
150,150,81,25,524230,500,5000000,461958,51000,-67900,11,3,1,0,73920,13440,6720,53760,188,375,1,0,0,2,12,10,3,44,0,1,0,3,6,2,971,0,0,6,10,1
151,151,449,57,293794,2000,0,442395,25000,0,8,1,0,1,5390,980,980,3430,190,509,2,1,1,0,12,12,3,58,1,1,1,2,4,5,96,1,1,13,28,0
